2019-01-01	78
2019-01-01	7
2019-01-01	67
2019-01-01	45
2019-01-01	26
2019-01-01	3
2019-01-01	18
2019-01-01	84
2019-01-01	46
2019-01-02	15
2019-01-02	67
2019-01-02	12
2019-01-02	18
2019-01-02	92
2019-01-02	38
2019-01-02	51
2019-01-02	52
2019-01-02	12
2019-01-03	59
2019-01-03	53
2019-01-03	52
2019-01-03	12
2019-01-03	56
2019-01-03	38
2019-01-03	81
2019-01-03	6
2019-01-03	35
2019-01-04	67
2019-01-04	63
2019-01-04	92
2019-01-04	34
2019-01-04	14
2019-01-04	85
2019-01-04	51
2019-01-04	81
2019-01-04	50
2019-01-05	11
2019-01-05	97
2019-01-05	84
2019-01-05	69
2019-01-05	93
2019-01-05	31
2019-01-05	4
2019-01-05	8
2019-01-05	43
2019-01-06	93
2019-01-06	94
2019-01-06	93
2019-01-06	58
2019-01-06	55
2019-01-06	96
2019-01-06	13
2019-01-06	3
2019-01-06	72
2019-01-07	37
2019-01-07	78
2019-01-07	27
2019-01-07	11
2019-01-07	85
2019-01-07	16
2019-01-07	13
2019-01-07	10
2019-01-07	34